,X_dist,Y_dist,X_velocity,Y_velocity
1340,0.5656172338688878,0.8142803587521008,0.34750351022108505,0.4686098495107093
1341,0.5637112044932706,0.8154598602117368,0.3549636879363433,0.4647955795365011
1342,0.5618754329349145,0.8164827927287454,0.36242386565160156,0.4609813095622929
1343,0.560109919193819,0.8173491563031254,0.3698840433668598,0.4571670395880847
1344,0.5584146632699843,0.8180589509348781,0.37734422108211807,0.4533527696138765
1345,0.5567896651634106,0.8186121766240029,0.38480439879737627,0.44953849963966835
1346,0.5552349248740976,0.8190088333704996,0.3922645765126345,0.44572422966546016
1347,0.5537504424020455,0.8192489211743688,0.3997247542278928,0.44190995969125196
1348,0.5523362177472543,0.81933244003561,0.40718493194315103,0.43809568971704377
1349,0.5509922509097238,0.8192593899542232,0.4146451096584093,0.4342814197428356
1350,0.5497185418894541,0.8190297709302086,0.4221052873736675,0.4304671497686274
1351,0.5485150906864453,0.8186435829635665,0.42956546508892574,0.4266528797944192
1352,0.5473818973006974,0.8181008260542961,0.437025642804184,0.422838609820211
1353,0.5463189617322102,0.8174015002023981,0.44448582051944224,0.4190243398460028
1354,0.545326283980984,0.8165456054078725,0.4519459982347005,0.41521006987179465
1355,0.5444038640470186,0.8155331416707189,0.4594061759499587,0.41139579989758646
1356,0.5435517019303139,0.814364108990937,0.46686635366521695,0.40758152992337826
1357,0.54276979763087,0.8130385073685278,0.4743265313804752,0.40376725994917007
1358,0.542058151148687,0.8115563368034905,0.4817867090957334,0.39995298997496187
1359,0.5414167624837648,0.8099175972958254,0.4892468868109917,0.3961387200007537
1360,0.5408456316361033,0.8081222888455329,0.49670706452624996,0.3923244500265455
1361,0.5403447586057029,0.8061704114526118,0.5041672422415082,0.3885101800523373
1362,0.5399141433925632,0.8040619651170633,0.5116274199567664,0.3846959100781291
1363,0.5395537859966844,0.8017969498388872,0.5190875976720247,0.38088164010392095
1364,0.5392636864180663,0.7993753656180826,0.5265477753872829,0.37706737012971275
1365,0.5390438446567092,0.7967972124546506,0.5340079531025412,0.37325310015550456
1366,0.5388942607126127,0.7940624903485907,0.5414681308177994,0.36943883018129636
1367,0.5388149345857772,0.791171199299903,0.5489283085330576,0.36562456020708817
1368,0.5388058662762025,0.7881233393085872,0.5563884862483159,0.36181029023287997
1369,0.5388670557838886,0.7849189103746439,0.5638486639635741,0.36562456020708817
1370,0.5388579874743139,0.7815579124980724,0.5713088416788324,0.36181029023287997
1371,0.538919176982,0.7780403456788734,0.5787690193940906,0.36562456020708817
1372,0.5389101086724253,0.7743662099170464,0.586229197109349,0.36181029023287997
1373,0.5389712981801114,0.7705355052125915,0.5936893748246072,0.36562456020708817
1374,0.5389622298705367,0.766548231565509,0.6011495525398655,0.36181029023287997
1375,0.5390234193782227,0.7624043889757984,0.6086097302551237,0.36562456020708817
1376,0.539014351068648,0.75810397744346,0.6160699079703819,0.36181029023287997
1377,0.5390755405763341,0.7536469969684937,0.6235300856856402,0.36562456020708817
